36m     Normal    Pulling                        pod/llm-proxy-7dc458997b-lxqr6                     Pulling image "curlimages/curl:8.21.0"
36m     Normal    Pulling                        pod/llm-proxy-7dc458997b-5fx42                     Pulling image "curlimages/curl:8.21.0"
36m     Normal    Pulled                         pod/llm-proxy-7dc458997b-5fx42                     Successfully pulled image "curlimages/curl:8.21.0" in 1.709s (1.709s including waiting). Image size: 10652192 bytes.
36m     Normal    Created                        pod/llm-proxy-7dc458997b-5fx42                     Container created
36m     Normal    Created                        pod/llm-proxy-7dc458997b-lxqr6                     Container created
36m     Normal    Started                        pod/llm-proxy-7dc458997b-lxqr6                     Container started
36m     Normal    Pulled                         pod/llm-proxy-7dc458997b-lxqr6                     Successfully pulled image "curlimages/curl:8.21.0" in 1.741s (1.741s including waiting). Image size: 10652192 bytes.
36m     Normal    Started                        pod/llm-proxy-7dc458997b-5fx42                     Container started
36m     Normal    Pulling                        pod/llm-proxy-7dc458997b-lxqr6                     Pulling image "ghcr.io/ggml-org/llama.cpp:server"
36m     Normal    Pulling                        pod/llm-proxy-7dc458997b-5fx42                     Pulling image "ghcr.io/ggml-org/llama.cpp:server"
35m     Normal    Created                        pod/llm-proxy-7dc458997b-lxqr6                     Container created
35m     Normal    Pulled                         pod/llm-proxy-7dc458997b-lxqr6                     Successfully pulled image "ghcr.io/ggml-org/llama.cpp:server" in 19.137s (19.137s including waiting). Image size: 309744371 bytes.
35m     Normal    Pulled                         pod/llm-proxy-7dc458997b-5fx42                     Successfully pulled image "ghcr.io/ggml-org/llama.cpp:server" in 19.309s (19.309s including waiting). Image size: 309744371 bytes.
35m     Normal    Pulling                        pod/llm-proxy-7dc458997b-5fx42                     Pulling image "ghcr.io/bobthebot988/llm-proxy:latest"
35m     Normal    Started                        pod/llm-proxy-7dc458997b-5fx42                     Container started
35m     Normal    Created                        pod/llm-proxy-7dc458997b-5fx42                     Container created
35m     Normal    Pulling                        pod/llm-proxy-7dc458997b-lxqr6                     Pulling image "ghcr.io/bobthebot988/llm-proxy:latest"
35m     Normal    Started                        pod/llm-proxy-7dc458997b-lxqr6                     Container started
35m     Normal    Started                        pod/llm-proxy-7dc458997b-lxqr6                     Container started
35m     Warning   Unhealthy                      pod/llm-proxy-7dc458997b-lxqr6                     Readiness probe failed: Get "http://10.244.3.2:8000/health": dial tcp 10.244.3.2:8000: connect: connection refused
35m     Normal    Pulled                         pod/llm-proxy-7dc458997b-5fx42                     Successfully pulled image "ghcr.io/bobthebot988/llm-proxy:latest" in 6.067s (6.067s including waiting). Image size: 64753325 bytes.
35m     Normal    Created                        pod/llm-proxy-7dc458997b-lxqr6                     Container created
35m     Normal    Pulled                         pod/llm-proxy-7dc458997b-lxqr6                     Successfully pulled image "ghcr.io/bobthebot988/llm-proxy:latest" in 5.613s (5.613s including waiting). Image size: 64753325 bytes.
35m     Normal    Created                        pod/llm-proxy-7dc458997b-5fx42                     Container created
35m     Normal    Started                        pod/llm-proxy-7dc458997b-5fx42                     Container started
35m     Warning   Unhealthy                      pod/llm-proxy-7dc458997b-5fx42                     Readiness probe failed: Get "http://10.244.4.2:8000/health": dial tcp 10.244.4.2:8000: connect: connection refused
31m     Normal    ScalingReplicaSet              deployment/llm-proxy                               Scaled up replica set llm-proxy-7dc458997b from 4 to 5
31m     Normal    SuccessfulCreate               replicaset/llm-proxy-7dc458997b                    Created pod: llm-proxy-7dc458997b-njhlz
31m     Normal    Pulling                        pod/llm-proxy-7dc458997b-njhlz                     Pulling image "curlimages/curl:8.21.0"
31m     Normal    Scheduled                      pod/llm-proxy-7dc458997b-njhlz                     Successfully assigned default/llm-proxy-7dc458997b-njhlz to ip-172-31-27-25.us-west-2.compute.internal
31m     Normal    SuccessfulRescale              horizontalpodautoscaler/llm-proxy-exp6             New size: 5; reason: cpu resource utilization (percentage of request) above target
31m     Normal    Created                        pod/llm-proxy-7dc458997b-njhlz                     Container created
31m     Normal    Pulled                         pod/llm-proxy-7dc458997b-njhlz                     Successfully pulled image "curlimages/curl:8.21.0" in 1.968s (1.968s including waiting). Image size: 10652192 bytes.
31m     Normal    Started                        pod/llm-proxy-7dc458997b-njhlz                     Container started
31m     Normal    SuccessfulRescale              horizontalpodautoscaler/llm-proxy-exp6             New size: 6; reason: cpu resource utilization (percentage of request) above target
31m     Normal    Pulling                        pod/llm-proxy-7dc458997b-nzq64                     Pulling image "curlimages/curl:8.21.0"
31m     Normal    Scheduled                      pod/llm-proxy-7dc458997b-nzq64                     Successfully assigned default/llm-proxy-7dc458997b-nzq64 to ip-172-31-19-34.us-west-2.compute.internal
31m     Normal    ScalingReplicaSet              deployment/llm-proxy                               Scaled up replica set llm-proxy-7dc458997b from 5 to 6
31m     Normal    SuccessfulCreate               replicaset/llm-proxy-7dc458997b                    Created pod: llm-proxy-7dc458997b-nzq64
31m     Normal    Started                        pod/llm-proxy-7dc458997b-nzq64                     Container started
31m     Normal    Created                        pod/llm-proxy-7dc458997b-nzq64                     Container created
31m     Normal    Pulled                         pod/llm-proxy-7dc458997b-nzq64                     Successfully pulled image "curlimages/curl:8.21.0" in 1.954s (1.954s including waiting). Image size: 10652192 bytes.
31m     Normal    Pulling                        pod/llm-proxy-7dc458997b-njhlz                     Pulling image "ghcr.io/ggml-org/llama.cpp:server"
30m     Normal    Pulling                        pod/llm-proxy-7dc458997b-nzq64                     Pulling image "ghcr.io/ggml-org/llama.cpp:server"
30m     Normal    Started                        pod/llm-proxy-7dc458997b-njhlz                     Container started
30m     Normal    Pulling                        pod/llm-proxy-7dc458997b-njhlz                     Pulling image "ghcr.io/bobthebot988/llm-proxy:latest"
30m     Normal    Created                        pod/llm-proxy-7dc458997b-njhlz                     Container created
30m     Normal    Pulled                         pod/llm-proxy-7dc458997b-njhlz                     Successfully pulled image "ghcr.io/ggml-org/llama.cpp:server" in 17.374s (17.374s including waiting). Image size: 309744371 bytes.
30m     Normal    Created                        pod/llm-proxy-7dc458997b-njhlz                     Container created
30m     Normal    Pulled                         pod/llm-proxy-7dc458997b-njhlz                     Successfully pulled image "ghcr.io/bobthebot988/llm-proxy:latest" in 5.831s (5.831s including waiting). Image size: 64753325 bytes.
30m     Normal    Started                        pod/llm-proxy-7dc458997b-njhlz                     Container started
30m     Warning   Unhealthy                      pod/llm-proxy-7dc458997b-njhlz                     Readiness probe failed: Get "http://10.244.5.2:8000/health": dial tcp 10.244.5.2:8000: connect: connection refused
30m     Normal    Pulling                        pod/llm-proxy-7dc458997b-nzq64                     Pulling image "ghcr.io/bobthebot988/llm-proxy:latest"
30m     Normal    Started                        pod/llm-proxy-7dc458997b-nzq64                     Container started
30m     Normal    Pulled                         pod/llm-proxy-7dc458997b-nzq64                     Successfully pulled image "ghcr.io/ggml-org/llama.cpp:server" in 16.224s (16.224s including waiting). Image size: 309744371 bytes.
30m     Normal    Created                        pod/llm-proxy-7dc458997b-nzq64                     Container created
30m     Normal    Pulled                         pod/llm-proxy-7dc458997b-nzq64                     Successfully pulled image "ghcr.io/bobthebot988/llm-proxy:latest" in 6.691s (6.691s including waiting). Image size: 64753325 bytes.
30m     Warning   Unhealthy                      pod/llm-proxy-7dc458997b-nzq64                     Readiness probe failed: Get "http://10.244.1.3:8000/health": dial tcp 10.244.1.3:8000: connect: connection refused
30m     Normal    Created                        pod/llm-proxy-7dc458997b-nzq64                     Container created
30m     Normal    Started                        pod/llm-proxy-7dc458997b-nzq64                     Container started
3m36s   Normal    SuccessfulRescale              horizontalpodautoscaler/llm-proxy-exp6             New size: 5; reason: All metrics below target
3m36s   Normal    ScalingReplicaSet              deployment/llm-proxy                               Scaled down replica set llm-proxy-7dc458997b from 6 to 5
3m35s   Normal    Killing                        pod/llm-proxy-7dc458997b-txfz7                     Stopping container fastapi-proxy
3m35s   Normal    SuccessfulDelete               replicaset/llm-proxy-7dc458997b                    Deleted pod: llm-proxy-7dc458997b-txfz7
3m35s   Normal    Killing                        pod/llm-proxy-7dc458997b-txfz7                     Stopping container llama-server
3m20s   Normal    Killing                        pod/llm-proxy-7dc458997b-njhlz                     Stopping container fastapi-proxy
3m20s   Normal    Killing                        pod/llm-proxy-7dc458997b-njhlz                     Stopping container llama-server
3m20s   Normal    ScalingReplicaSet              deployment/llm-proxy                               Scaled down replica set llm-proxy-7dc458997b from 5 to 4
3m20s   Normal    SuccessfulRescale              horizontalpodautoscaler/llm-proxy-exp6             New size: 4; reason: All metrics below target
3m20s   Normal    SuccessfulDelete               replicaset/llm-proxy-7dc458997b                    Deleted pod: llm-proxy-7dc458997b-njhlz
3m5s    Normal    Killing                        pod/llm-proxy-7dc458997b-5fx42                     Stopping container fastapi-proxy
3m5s    Normal    Killing                        pod/llm-proxy-7dc458997b-5fx42                     Stopping container llama-server
