39m     Normal    Starting                       node/ip-172-31-16-97.us-west-2.compute.internal    
22m     Normal    Pulling                        pod/llm-proxy-857bf6d79d-gbrzg                     Pulling image "ghcr.io/bobthebot988/llm-proxy:latest"
22m     Normal    Pulled                         pod/llm-proxy-857bf6d79d-gbrzg                     Successfully pulled image "ghcr.io/bobthebot988/llm-proxy:latest" in 5.118s (5.118s including waiting). Image size: 64753325 bytes.
22m     Normal    Created                        pod/llm-proxy-857bf6d79d-gbrzg                     Container created
22m     Normal    Started                        pod/llm-proxy-857bf6d79d-gbrzg                     Container started
22m     Warning   Unhealthy                      pod/llm-proxy-857bf6d79d-gbrzg                     Readiness probe failed: Get "http://10.244.4.2:8000/health": dial tcp 10.244.4.2:8000: connect: connection refused
4m48s   Warning   Unhealthy                      pod/llm-proxy-857bf6d79d-gbrzg                     Readiness probe failed: Get "http://10.244.4.2:8000/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
2m45s   Normal    Started                        pod/llm-proxy-857bf6d79d-gbrzg                     Container started
2m45s   Normal    Created                        pod/llm-proxy-857bf6d79d-gbrzg                     Container created
2m45s   Normal    Pulled                         pod/llm-proxy-857bf6d79d-gbrzg                     Container image "ghcr.io/ggml-org/llama.cpp:server" already present on machine and can be accessed by the pod
2m43s   Warning   Unhealthy                      pod/llm-proxy-857bf6d79d-gbrzg                     Readiness probe failed: HTTP probe failed with statuscode: 503
